タイトル: [復元] 2026/5/13 15:02:41
録音ID: rec_20260513084709
文字起こしID: 50
録音日時: 2026-05-13T08:47:09.491Z
[2:04:15] speaker_3: だバイバイ
[2:04:17] speaker_5: 。これです。
[2:07:10] speaker_6: に注意します
[2:07:17] speaker_0: 。
[2:07:25] speaker_5: はい、座
[2:07:25] speaker_0: 座れました。
[2:07:51] speaker_3: がいい
[2:07:59] speaker_6: です。おおいしさんセット
[2:08:01] speaker_0: 。
[2:11:13] speaker_3: とだ
[2:11:13] speaker_4: ね。ちょっと待っててて
[2:11:17] speaker_0: 。
[2:11:17] speaker_4: おっちゃん子ちゃん待っててね。だめ
[2:11:22] speaker_0: 。
[2:11:22] speaker_4: じゃ待ってと言ってわかる。
[2:29:11] speaker_6: 倉玉。これは
[2:29:14] speaker_5: 吐いてでしょ
[2:29:15] speaker_4: それは、トマトさん食べて
[2:29:18] speaker_0: 。
